CodigoExterno,Estado,CodigoEstado,Organismo,Sector,Region,Tipo,Rubro,Moneda,MontoEstimado,NumeroOferentes,CantidadReclamos,FechaCierre,Periodo,MontoAdjudicado
1001-1-LE26,Desierta (o art. 3 ó 9 Ley 19.886),7,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,Obras Públicas,Región de la Araucanía ,LE,"ARTÍCULOS PARA ESTRUCTURAS, OBRAS Y CONSTRUCCIONES",CLP,12500000.0,1.0,459.0,2026-02-23,2026-02,
3784-26-LE26,Adjudicada,8,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,LE,"SERVICIOS PROFESIONALES, ADMINISTRATIVOS Y CONSULTORÍAS DE GESTIÓN EMPRESARIAL",CLP,,1.0,292.0,2026-02-24,2026-02,29240000.0
3784-25-L126,Adjudicada,8,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,L1,"ORGANIZACIONES Y CONSULTORÍAS POLÍTICAS, DEMOGRÁFICAS, ECONÓMICAS, SOCIALES Y DE ADMINISTRACIÓN PÚBLICA",CLP,7000000.0,5.0,292.0,2026-02-24,2026-02,5763000.0
3784-24-R126,Adjudicada,8,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,LE,"TECNOLOGÍAS DE LA INFORMACIÓN, TELECOMUNICACIONES Y RADIODIFUSIÓN",CLP,8680000.0,19.0,292.0,2026-03-03,2026-02,517601.0
3784-24-LE26,Adjudicada,9,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,LE,"TECNOLOGÍAS DE LA INFORMACIÓN, TELECOMUNICACIONES Y RADIODIFUSIÓN",CLP,8680000.0,19.0,292.0,2026-03-03,2026-02,6719920.0
3784-23-L126,Adjudicada,8,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,L1,ARTÍCULOS DE ELECTRÓNICA,CLP,6100000.0,4.0,292.0,2026-03-03,2026-02,6710000.0
3784-22-LE26,Adjudicada,8,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,LE,"SERVICIOS PROFESIONALES, ADMINISTRATIVOS Y CONSULTORÍAS DE GESTIÓN EMPRESARIAL",CLP,,1.0,292.0,2026-03-03,2026-02,15966387.0
3784-21-L126,Desierta (o art. 3 ó 9 Ley 19.886),7,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,L1,"TECNOLOGÍAS DE LA INFORMACIÓN, TELECOMUNICACIONES Y RADIODIFUSIÓN",CLP,3000000.0,4.0,292.0,2026-03-04,2026-02,
3784-20-LE26,Adjudicada,8,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,LE,"SERVICIOS PROFESIONALES, ADMINISTRATIVOS Y CONSULTORÍAS DE GESTIÓN EMPRESARIAL",CLP,,2.0,292.0,2026-02-19,2026-02,
3784-2-LE26,Desierta (o art. 3 ó 9 Ley 19.886),7,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,LE,"ARTÍCULOS PARA ESTRUCTURAS, OBRAS Y CONSTRUCCIONES",CLP,1.0,3.0,292.0,2026-02-11,2026-02,
3784-18-LE26,Adjudicada,8,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,LE,"INSTRUMENTOS MUSICALES, JUEGOS, JUGUETES, ARTESANÍAS Y MATERIALES EDUCATIVOS",CLP,7000000.0,2.0,292.0,2026-03-03,2026-02,2970000.0
3784-17-L126,Adjudicada,8,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,L1,"SERVICIOS PROFESIONALES, ADMINISTRATIVOS Y CONSULTORÍAS DE GESTIÓN EMPRESARIAL",CLP,4000000.0,1.0,292.0,2026-02-23,2026-02,3905580.0
3784-16-LE26,Adjudicada,8,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,LE,"SERVICIOS FINANCIEROS, PENSIONES Y SEGUROS",CLP,10000000.0,3.0,292.0,2026-02-19,2026-02,
3784-15-LE26,Desierta (o art. 3 ó 9 Ley 19.886),7,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,LE,"SERVICIOS PROFESIONALES, ADMINISTRATIVOS Y CONSULTORÍAS DE GESTIÓN EMPRESARIAL",CLP,,1.0,292.0,2026-02-17,2026-02,
3784-13-L126,Adjudicada,8,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,L1,"EQUIPOS Y SUMINISTROS DE DEFENSA, ORDEN PÚBLICO, PROTECCIÓN Y SEGURIDAD",CLP,4000000.0,1.0,292.0,2026-02-16,2026-02,3132615.0
3784-12-L126,Adjudicada,8,I MUNICIPALIDAD DE COELEMU,Municipalidades,Región del Ñuble,L1,"EQUIPOS, ACCESORIOS Y SUMINISTROS DE OFICINA",CLP,3600000.0,5.0,292.0,2026-02-12,2026-02,2500000.0
