CodigoExterno,Nombre,Descripcion,Categoria,Estado,Vigencia,Tipo,Organismo,TipoEntidad,Region,Comuna,MontoEstimado,Moneda,FechaPublicacion,FechaCierre,AnioCierre,MesCierreNum,MesCierre,DiasParaCierre,NumeroOferentes,CantidadItems,FuenteFinanciamiento,CantidadReclamos,MontoAdjudicado,ProveedorAdjudicado
1000-11-LE26,Sum. de barreras y otros elementos complementarios,"Necesario para dar cumplimiento a labores de Conservación y Administración Directa de la Provincia de Biobío, Región del Biobío.","Equipos y suministros de defensa, orden público, protección y seguridad",Publicada,Vigente,Licitación Pública Entre 100 y 1000 UTM,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,Ministerio,Región del Biobío ,Los Angeles,,CLP,2026-06-01T16:23:38.957,2026-06-11T15:10:00,2026.0,6.0,Jun,1,,1.0,Fondo sectorial,459.0,,
1000-12-LP26,Sum. material pétreo Comunas los Ángeles y Laja.,"Para obras de recebo de carpetas granulares del programa de trabajo o para emergencias de caminos de las provincias de Arauco, Biobío y Concepción.","Productos derivados de minerales, plantas y animales",Publicada,Vigente,Licitación Pública Mayor 1000 UTM,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,Ministerio,Región del Biobío ,Los Angeles,,CLP,2026-06-10T16:42:20.357,2026-06-30T15:10:00,2026.0,6.0,Jun,20,,1.0,Fondo sectorial,459.0,,
1002-37-LP26,Convenio Suministro Emulsión asfáltica,"DESTINADO A LA CONSERVACION DE LA RED VIAL, REGION DE LOS LAGOS","Artículos para estructuras, obras y construcciones",Publicada,Vigente,Licitación Pública Mayor 1000 UTM,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,Ministerio,Región de los Lagos ,,,CLP,2026-06-01T11:37:52.043,2026-06-12T15:00:00,2026.0,6.0,Jun,2,,2.0,,459.0,,
1002588-67-LE26,Servicio de Producción de salidas pedagógicas,Servicio de producción de salidas pedagógicas para estudiantes de la Escuela Tambillos del Servicio Local de Educación Pública Puerto Cordillera.,"Servicios profesionales, administrativos y consultorías de gestión empresarial",Publicada,Vigente,Licitación Pública Entre 100 y 1000 UTM,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,Servicio público,Región de Coquimbo ,Coquimbo,17000000.0,CLP,2026-06-02T13:43:09.447,2026-06-12T15:00:00,2026.0,6.0,Jun,2,,1.0,SEP,377.0,,
1002588-68-LE26,Servicio alojamiento alumnos Colegio Pablo Neruda,Servicio de Alojamiento para alumnos del Colegio Pablo Neruda dependiente del Servicio Local de Educación Pública Puerto Cordillera por salida pedagógica a la Ciudad de Santiago de Chile.,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",Publicada,Vigente,Licitación Pública Entre 100 y 1000 UTM,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,Servicio público,Región de Coquimbo ,Coquimbo,12000000.0,CLP,2026-06-03T11:58:55.557,2026-06-15T15:00:00,2026.0,6.0,Jun,5,,1.0,SEP,377.0,,
1002772-40-LR26,SUMINISTRO DE AGUJAS E INSUMOS PARA BIOPSIA,"Las presentes Bases constituyen el instrumento guía destinado a celebrar un CONVENIO DE SUMINISTRO DE AGUJAS E INSUMOS PARA BIOPSIA CON EQUIPO EN COMODATO PARA HOSPITAL DR. FÉLIX BULNES CERDA, en adelante Hospital, éstas, establecen los fines, condiciones y requisitos que deberán ser cumplidos por los oferentes, en todas y cada una de las partes que conformen su oferta, además de regular el todo el proceso licitatorio hasta la suscripción del correspondiente contrato.",Equipamiento y suministros médicos,Publicada,Vigente,LR,SERVICIO SALUD OCCIDENTE HOSPITAL DR FELIX BULNES CERDA,Hospital,Región Metropolitana de Santiago,,,CLP,2026-05-18T15:29:59.737,2026-06-17T16:30:00,2026.0,6.0,Jun,7,,5.0,,2815.0,,
1002772-43-LP26,SUMINISTRO DE CITOSCOPIO FLEXIBLE DIGITAL COMODATO,"Las presentes Bases constituyen el instrumento guía destinado a celebrar un CONVENIO DE SUMINISTRO DE CITOSCOPIO FLEXIBLE DIGITAL DESECHABLE CON EQUIPO EN COMODATO PARA EL HOSPITAL DR. FÉLIX BULNES CERDA, en adelante Hospital, éstas, establecen los fines, condiciones y requisitos que deberán ser cumplidos por los oferentes, en todas y cada una de las partes que conformen su oferta, además de regular el todo el proceso licitatorio hasta la suscripción del correspondiente contrato.",Equipamiento y suministros médicos,Publicada,Vigente,Licitación Pública Mayor 1000 UTM,SERVICIO SALUD OCCIDENTE HOSPITAL DR FELIX BULNES CERDA,Hospital,Región Metropolitana de Santiago,,,CLP,2026-05-25T09:44:00,2026-06-15T16:00:00,2026.0,6.0,Jun,5,,1.0,,2815.0,,
1002772-50-LP26,SUMINISTRO DE ROPA QUIRÚRGICA ESTÉRIL,"Artículo 6°: Las presentes Bases constituyen el instrumento guía destinado a celebrar un CONVENIO DE SUMINISTRO DE ROPA QUIRÚRGICA ESTÉRIL PARA EL SERVICIO DE TRAUMATOLOGIA DEL HOSPITAL DR. FÉLIX BULNES CERDA, en adelante Hospital, éstas, establecen los fines, condiciones y requisitos que deberán ser cumplidos por los oferentes, en todas y cada una de las partes que conformen su oferta, además de regular el todo el proceso licitatorio hasta la suscripción del correspondiente contrato.",Equipamiento y suministros médicos,Publicada,Vigente,Licitación Pública Mayor 1000 UTM,SERVICIO SALUD OCCIDENTE HOSPITAL DR FELIX BULNES CERDA,Hospital,Región Metropolitana de Santiago,,,CLP,2026-06-01T12:23:00,2026-06-25T15:30:00,2026.0,6.0,Jun,15,,5.0,HOSPITAL DR. FÉLIX BULNES CERDA ,2815.0,,
1002772-51-LP26,SUMINISTRO TÉCNICA PCR EN T.R EN B.R COMODATO,"Las presentes Bases constituyen el instrumento guía destinado a celebrar un CONVENIO DE SUMINISTRO DE TÉCNICA PCR EN TIEMPO REAL EN BIOPSIA REAL CON EQUIPO EN COMODATO PARA EL HOSPITAL DR. FÉLIX BULNES CERDA, en adelante Hospital, éstas, establecen los fines, condiciones y requisitos que deberán ser cumplidos por los oferentes, en todas y cada una de las partes que conformen su oferta, además de regular el todo el proceso licitatorio hasta la suscripción del correspondiente contrato.",Equipamiento para laboratorios,Publicada,Vigente,Licitación Pública Mayor 1000 UTM,SERVICIO SALUD OCCIDENTE HOSPITAL DR FELIX BULNES CERDA,Hospital,Región Metropolitana de Santiago,,,CLP,2026-06-03T11:32:14.187,2026-06-17T16:30:00,2026.0,6.0,Jun,7,,6.0,,2815.0,,
1002772-52-LP26,SUMINISTRO DE DRENAJE PLANO CON RESERVORIO,"Las presentes Bases constituyen el instrumento guía destinado a celebrar un CONVENIO DE SUMINISTRO DE DRENAJE PLANO CON RESERVORIO PARA NEUROCIRUGÍA DEL PARA EL HOSPITAL DR. FÉLIX BULNES CERDA, en adelante Hospital, éstas, establecen los fines, condiciones y requisitos que deberán ser cumplidos por los oferentes, en todas y cada una de las partes que conformen su oferta, además de regular el todo el proceso licitatorio hasta la suscripción del correspondiente contrato.",Equipamiento y suministros médicos,Publicada,Vigente,Licitación Pública Mayor 1000 UTM,SERVICIO SALUD OCCIDENTE HOSPITAL DR FELIX BULNES CERDA,Hospital,Región Metropolitana de Santiago,,,CLP,2026-06-04T15:35:03.343,2026-06-18T16:00:00,2026.0,6.0,Jun,8,,2.0,,2815.0,,
